Title,Enlace,Emails,Web
"Rhaky","https://www.facebook.com/RhakyConsultoriaenTalentoHumano/","info@rhaky.com","http://rhaky.com/whatsapp"
"Grupo Urrea","https://www.facebook.com/GrupoUrreaHerramientasyCerrajeria/","false","urrea.com/informacion/unete-al-equipo"
"Reclutamiento RALY","https://www.facebook.com/61566329577755/","false","false"
"Empleo Para Todos","https://www.facebook.com/jobenmexico/","false","false"
"Reclutamiento GrupoElektra - Nogales","https://www.facebook.com/61567847030460/","LAURA.PANDURA@CHTALENTO.COM","reclutalia.com"
"Bolsa de Trabajo Distribuidora de Autopartes Pescador, SA de CV","https://www.facebook.com/100063646582259/","rh@dapesa.com.mx","Distribuidora de Autopartes Pescador S.A. de C.V."
"FarmaSana Chilpancingo","https://www.facebook.com/FarmaSanaChilpancingo/","farmasana.chilpancingo@gmail.com","farmasana.com.mx"
"pelcastrejazmin5","https://www.facebook.com/pelcastrejazmin5-245676648637457/","false","false"
"Bolsa de empleo GS CD Valles","https://www.facebook.com/61566973077987/","mgarciaa@caphuman.com","false"
"Macropay Reclutamiento","https://www.facebook.com/61551996675118/","false","false"
"Consultores Macías","https://www.facebook.com/corporativomaciasyasociados/","comercializacion@corpmacias.com","corpmacias.com"
"Departamentos GAP Metropolitana","https://www.facebook.com/100088136582330/","info@gapmetropolitana.com.mx","gapmetropolitana.com.mx"
"Maxival - Atracción de Talento","https://www.facebook.com/maxival.reclutamiento/","reclutamiento@maxival.com.mx","maxival.com.mx"
"Reclutamiento y selección de personal DIGO","https://www.facebook.com/Marissaggss/","mggs.reclutamiento@gmail.com","false"
"Talento Macropay","https://www.facebook.com/61567836444693/","false","macropay.mx"
"Financiera Presico Norte","https://www.facebook.com/61561060006720/","false","false"
"Reclutador FM","https://www.facebook.com/61558048532065/","fmontielr@chedraui.com.mx","wa.me/message/SGUUD56OARJYO1"
"Despacho Contable TGO Guadalajara y zona metropolitana","https://www.facebook.com/DespachoTGO/","despachocontable@tgo.com.mx","tgo.com.mx"
"Labora- Empleo para meseros, hostess, bar tender y área de restaurantes.","https://www.facebook.com/Laboraempleos/","false","false"
"Trabajo, empleo, vacantes en Mexico","https://www.facebook.com/100064352695622/","gabyrizo09@gmail.com","false"
"As Bolsa de Empleo","https://www.facebook.com/AsBolsadeEmpleo/","rh@asconsultoriaintegral.com","asbolsadeempleo.com/vacantes"
"Vacantes Coahuila","https://www.facebook.com/vacantescoahuilacom/","false","Vacantescoahuila.com"
"RH MI VIEJO Pueblito","https://www.facebook.com/100063479085980/","rhgrupoplaza@gmail.com","grupocafeplaza.com.mx"
"Empleos Jardines de San Juan Puerto Vallarta","https://www.facebook.com/100083024574274/","coord_dh@jardinesdesanjuan.com.mx","jardinesdesanjuan.com.mx"
"Asesora en Retiro Por Desempleo  Janet Zendejo Posada APR","https://www.facebook.com/APRJanetZendejoPosada/","false","false"
"Empleo con Futuro","https://www.facebook.com/61551037449565/","false","wa.me/message/SKYEYEH4MZEUD1"
"Reclutamiento y selección","https://www.facebook.com/100063493553820/","redes.aztec@gmail.com","seguridadaztec.com"
"Carpinteros Unidos En México","https://www.facebook.com/carpinterosunidosmx/","carpinterosunidosmx@gmail.com","carpinterosunidosmx"
"Reclutamiento y selección de personal","https://www.facebook.com/61566921502147/","cnoelia.esparza@yahoo.com","wa.me/7203868438"
"Monserrat Cortes","https://www.facebook.com/Monserrat-Cortes-256254740910844/","false","false"
"Seguridad AZTEC","https://www.facebook.com/AZTECseguridad/","false","seguridadaztec.com/bolsa-de-trabajo"
"Nora Gamez","https://www.facebook.com/noradgamez/","contacto@noragamez.com","noradgamez"
"Atracción de Talento CAFFENIO","https://www.facebook.com/100092957282733/","Contrataciones@caffenio.com","caffenio.com"
"Bolsa de Trabajo WA Tapatio","https://www.facebook.com/TapatioAeropuerto/","false","false"
"Aceros Metalli","https://www.facebook.com/AcerosMetalli/","contacto@acerosmetalli.com","acerosmetalli.com"
"UCAPI, Clínica de Psicología","https://www.facebook.com/100063620678183/","ucapi@prodigy.net.mx","ucapiclinicadepsicologia.com.mx"
"Bolsa de Empleo y Reclutamiento  H. Bola Roja","https://www.facebook.com/100042874850976/","false","grupocmg.com.mx"
"Empleo en Especias Moy","https://www.facebook.com/TalentoespeciasMoy/","reclutamiento@especiasmoy.com","especias.moy"
"Lavartex-Seao Planta Tlaxcala","https://www.facebook.com/61553692180512/","false","false"
"NeCommerce","https://www.facebook.com/NeCommerce-161310120398620/","false","false"
"Bolsa de trabajo Contrataciones","https://www.facebook.com/61553937606661/","false","false"
"Tramites de afore y pensiones GDL","https://www.facebook.com/100092417891298/","despachocontabletgo@gmail.com","tgo.mx.com"
"Bolsa de Empleo IMF","https://www.facebook.com/61558390391855/","reclutamientoyseleccion.imf@gmail.com","inmobiliariaimf.com"
"Reclutamiento Proteínas y Oleicos SA de CV","https://www.facebook.com/100063645755237/","false","proteinasyoleicos.com"
"San Carlos Plaza Hotel, Beach & Convention Center","https://www.facebook.com/SanCarlosPlaza/","false","sancarlosplaza.mx"
"Mariana Garcia","https://www.facebook.com/Mariana-Garcia-123017237566352/","false","false"
"Agencia de Reclutamiento Keyser GDL ","https://www.facebook.com/61553900187363/","reclutamientogdl@keyser.com.mx","keyserhc.com"
"Plasticos del Pacifico","https://www.facebook.com/100038893913962/","admincabo@plasticosdelpacifico.com.mx","false"
"RH JLB","https://www.facebook.com/100092594965214/","false","false"
"Atracción De Talento","https://www.facebook.com/Atracci%C3%B3n-De-Talento-405172009357222/","false","false"
"Bolsa de Empleo Restaurante Qro","https://www.facebook.com/bolsadeempleorestauranteoqro/","false","false"
"Trafico Zmg","https://www.facebook.com/traficozmg/","contacto@traficozmg.com","traficozmg.com"
"Campomar CasaBlanca - Reclutamiento","https://www.facebook.com/61567345744375/","false","false"
"Parque Industrial Yecapixtla, Morelos","https://www.facebook.com/100052222886068/","Daniel.Ariza@elevatetextiles.com","false"
"Winopay Ixtapaluca","https://www.facebook.com/61566733535506/","false","false"
"Stesso Empleo Limpieza","https://www.facebook.com/stessoempleolimpieza/","candidatos@stesso.com.mx","trabajo.stesso.com.mx"
"SIL: Servicio Integral de Limpieza","https://www.facebook.com/SIL.Oaxaca/","serviciointegraldelimpieza.oax@gmail.com","instagram.com/s.i.l_oaxaca?igshid=YmMyMTA2M2Y%3D"
"Grupo Empresarial Cosea","https://www.facebook.com/Grupo-Empresarial-Cosea-103341752833402/","false","false"
"L B Reclu Empleo","https://www.facebook.com/100090464387641/","false","false"
"Tecnoglobal","https://www.facebook.com/100039496490465/","areyes@tecnoglobal.mx","tecnoglobal.mx"
"Top Select","https://www.facebook.com/TopSelectMx/","false","topselect.com.mx"
"Ayudante General Empleos","https://www.facebook.com/AyudanteGeneralEmpleos/","asesorb3@jinzai.com.mx","false"
"RH Farmacias Del Ahorro GDL ","https://www.facebook.com/61557564052544/","false","false"
"Empleo para todos SA","https://www.facebook.com/100081756467980/","false","false"
"Reclutamiento  GISSA","https://www.facebook.com/61561372706327/","false","false"
"Atracción de Talento Grupo BD","https://www.facebook.com/TalentoGrupoBD/","talento@adh.com","grupobd.mx"
"Grupo Anderson's","https://www.facebook.com/grupoandersons/","marketing@andermail.com","grupoandersons.com"
"Bolsa de Empleo En Nuevo Leon","https://www.facebook.com/100063737485503/","benjamin_reclutamiento13@hotmail.com","false"
"RH Reclutamiento","https://www.facebook.com/100083076979670/","false","false"
"Lidman","https://www.facebook.com/lidman.manzanillo/","bolsadeempleo@lidman.com.mx","lidman.com.mx"
"Bolsa de trabajo oaxaca","https://www.facebook.com/TRABAJOENOAXACA/","capacitem.test@outlook.com","capacitem.com"
"Incorporación Desarrollo de Talento","https://www.facebook.com/incorporacionydesarrollo/","direccion@idtalento.com.mx","idtalento.com.mx"
"Vacantes Para Elementos de Seguridad CDMx","https://www.facebook.com/61553853962215/","brayansesga94@gmail.com","false"
"Feria del empleo, reclutamiento y selección","https://www.facebook.com/feriadelempleoreclutamientoyseleccionYM/","false","false"
"Reclutamiento CEDIS Tijuana","https://www.facebook.com/ReclutamientoCEDISTijuana/","leansy.cruz@oxxo.com","oxxo.com"
"Casa de la Sanación de Morelos","https://www.facebook.com/100064203663274/","reikimorelos@outlook.com","casa-de-la-sanacion-de-morelos.my.canva.site"
"Vacantes Angus Boots","https://www.facebook.com/100095393856602/","false","false"
"Oportunidades de Trabajo Cesar B.","https://www.facebook.com/61566795038805/","false","false"
"Capital Humano Peninsular","https://www.facebook.com/100093419830004/","false","caphumpeninsularRH"
"CRÍO Talento","https://www.facebook.com/criotalento/","false","crio.com.mx"
"Floreria Liz","https://www.facebook.com/florerializ/","info@florerializ.com","florerializ.com"
"Reclutamiento Servicarnes De Occidente","https://www.facebook.com/61555723296955/","ServicarnesRH@gmail.com","false"
"Tecnocel GdL","https://www.facebook.com/Tecngdl/","tecnnocel_ventas@outlook.com","false"
"Homero Ranchero Tláhuac","https://www.facebook.com/homerorancherotlahuac/","homeroranchero.david@gmail.com","homerorancherotlahuac"
"Juntas por la familia y el trabajo","https://www.facebook.com/61554029256565/","false","pabsmr.org"
"Reclutamiento Grupo Control, F.","https://www.facebook.com/61555939562491/","false","seguridadcontrol.com.mx"
"Abastecedora de Cárnicos del Sureste S.A de C.V","https://www.facebook.com/100089952224160/","abacssa@outlook.com","false"
"Ucop tours Mexico","https://www.facebook.com/ucoptours/","buzonucop@gmail.com","ucop_toursmexico"
"Reclutamiento GDL Hoy","https://www.facebook.com/61561477005533/","false","nearshore4u.com"
"All Consulting Group Bienestar emocional","https://www.facebook.com/allconsultingroup/","bienestaremocional@allconsultingroup.com","allconsultingroup.com"
"La BBQ Colosio AGS","https://www.facebook.com/labbqcerveceriaags/","info@labbqcerveceria.com","labbqcerveceria.com"
"Tenemos una oportunidad para tì","https://www.facebook.com/61564371750329/","psg_81@hotmail.com","false"
"Emprende con Saúl ","https://www.facebook.com/61562167138714/","false","false"
"Blue Mile","https://www.facebook.com/61564882077355/","reclutamiento@bluemile.mx","bluemile.mx"
"Empleo Gdl ","https://www.facebook.com/61566984197507/","false","false"
"Jolie Catherine Salud-Belleza","https://www.facebook.com/Jolie.Catherine.Salud.Belleza/","false","false"
"Talento Grufag","https://www.facebook.com/TalentoGrufag/","false","api.whatsapp.com/send?phone=5213316222955"
"Fantasías Miguel Empleos","https://www.facebook.com/FantasiasMiguelEmpleos/","false","quieroserfm.my.canva.site/fantasiasmiguelempleos"
"Reclutamiento Seguridad Privada","https://www.facebook.com/ReclutamientoLeoSarmiento/","false","false"
"Reclutamiento Chedraui Puerto Escondido","https://www.facebook.com/61553727434406/","talentohumanochedraui@hotmail.com","false"
"Mi empleo confiable","https://www.facebook.com/ReclutamientoEstebanCardenas3R/","false","goo.gl/maps/r5uGyVCriD59ru2C8"
"Get Your Visa","https://www.facebook.com/61563840656737/","getyourvisacol@gmail.com","getyourvisa.com.co"
"Soriana Valle Poniente Vacantes","https://www.facebook.com/61565879793204/","caphum545@soriana.com","false"
"Tacos Pipo - Barbacoa","https://www.facebook.com/tacospipobarbacoa/","false","business.google.com/website/tacos-pipo-juan-palomar"
"EBEC colima","https://www.facebook.com/100080572980332/","false","false"
"Oportunidades Empleo","https://www.facebook.com/61566390762881/","mprecidario@gmail.com","false"
"Empléate Ya","https://www.facebook.com/EmpleateYa.com.mx/","communitymanager@empleateya.com.mx","empleate__ya"
"Mejoravit JANM","https://www.facebook.com/61567366019679/","false","false"
"Trámites  Infonavit Zayaler","https://www.facebook.com/61567299269191/","false","false"
"Desarrollo de Talento Humano","https://www.facebook.com/61564356869050/","alejandra.mejia@shipsat.com.mx","false"
"Edubel Centro Evaluador y Certificador","https://www.facebook.com/61560657810952/","false","false"
"Recursos Humanos Syrfsa","https://www.facebook.com/61558197667008/","false","syrfsa.com"
"Empleo Etéreo Cafetería","https://www.facebook.com/100083069115740/","false","etereo-cafeteria.postershop.me"
"Empleo Objetivo","https://www.facebook.com/61551797535091/","capitalempleo.slp@gmail.com","empleoobjetivo.com.mx"
"Reclutamiento Raquel González ","https://www.facebook.com/61567183736086/","false","false"
"Te busco Empleo Veracruz","https://www.facebook.com/100084896508339/","false","false"
"KORU Decoración y Arquitectura","https://www.facebook.com/korudecoracionyarquitectura/","Proyectos@korudecoracionyarquitectura.com","korudecoracionyarquitectura.com"
"TRT REFRIGERADOS","https://www.facebook.com/trtrefrigerados/","false","trtrefrigerados.com"
"LUBA Innovación","https://www.facebook.com/61558231290538/","false","false"
"Tu nuevo empleo está aquí","https://www.facebook.com/100082337025319/","cynthia.espinoza@cuprum.com","false"
"Logistica y transportación terrestre","https://www.facebook.com/61567160436956/","false","false"
"Kleen Spa & Salon","https://www.facebook.com/KleenSpaSalon/","false","kleenspaysalonofficial"
"EmpleoFacil","https://www.facebook.com/100050141927479/","false","false"
"Resilientes en acción","https://www.facebook.com/100064074129833/","resilientesenaccion@gmail.com","false"
"Chedraui Reclutamiento","https://www.facebook.com/61558430245735/","false","false"
"API Proyectos & Construcción Eléctrica.","https://www.facebook.com/100063588129580/","Proyectosapi@outlook.com","false"
"Ana Rh","https://www.facebook.com/61567175934913/","maria374@gmail.com","false"
"Trabajos en Guadalajara y Zona Metropolitana","https://www.facebook.com/100083552431443/","false","false"
"SORIAconsultoría","https://www.facebook.com/100090486734598/","soriaconsultoriars@gmail.com","false"
"Reclutamiento BBOX Security","https://www.facebook.com/BboxRedes/","supervisor.redes@bboxsecurity.com","bboxsecurity.com"
"Mirna","https://www.facebook.com/Mirna-105339949207785/","false","false"
"Vacantes Talent Solutions RPO","https://www.facebook.com/tsrpo/","false","manpowergroup.com.mx"
"Reclutamiento Aldo's","https://www.facebook.com/100064804611328/","false","aldosgelato.com"
"Necesitas Efectivo Crédito Mejoravit La solucion","https://www.facebook.com/100093358855013/","false","false"
"Jimmy Joe","https://www.facebook.com/jimmyjoemexico/","fernando.palacios@jimmyjoe.com.mx","jimmyjoe.com.mx"
"GRG Talento","https://www.facebook.com/GRGTalento/","false","https://apli.ws/whatsapp_grg"
"Próximo Empleo","https://www.facebook.com/100077265257056/","false","prowork.mx"
"Empleo en Financiera","https://www.facebook.com/100077369970711/","false","false"
"Alertia Seguridad Privada Cuautitlan","https://www.facebook.com/61563385370886/","false","false"
"Agencia de colocación laboral  ","https://www.facebook.com/61567183482516/","false","corporativocresser.com"
"Empleo PARA TODOS","https://www.facebook.com/61556324260290/","false","false"
"Asesoria Financiera SL ","https://www.facebook.com/61567590122477/","false","false"
"Bolsa de Empleo Alpacel","https://www.facebook.com/100091900996211/","false","false"
"E-tobe","https://www.facebook.com/etobemx/","contacto@etobe.mx","etobe.mx"
"Transportes Unimex S.A de C.V","https://www.facebook.com/transportesunimexsadecv/","Sales@unimexgroup.com","transportesunimex.com"
"reclutamiento Chedraui ","https://www.facebook.com/61559100397872/","false","false"
"Bolsa de empleo Yak Cuauhtemoc","https://www.facebook.com/61558998503389/","casino.yakcuauhtemoc@gmail.com","grupocodere.com"
"Recursos Humanos Refaccionarias Monterrey","https://www.facebook.com/100068347519370/","false","false"
"RECLUTAMIENTO A&T OVD","https://www.facebook.com/RECLUTAMIENTO-AT-OVD-443247742203639/","false","false"
"Reclutamiento Ancona Autopartes","https://www.facebook.com/100087984455888/","reclutamiento.aux2@anconaautopartes.com","false"
"RCO Reclutamiento","https://www.facebook.com/61551000029826/","reclutamiento@rco.mx","reclutamientoredviacorta"
"Bolsa de Trabajo Tony Superpapelerías","https://www.facebook.com/61560840496274/","trios@tony.mx","tony.com.mx"
"Empleo Guadalupe Halftime","https://www.facebook.com/100055362622907/","false","centraneg.com.mx"
"H&C Capacitación Integral","https://www.facebook.com/100064994533382/","hyccapacitacionintegral@hotmail.com","xn--hyccapacitacinintegral-7fc.com"
"Hay Empleo","https://www.facebook.com/hayempleomx/","false","false"
"Bolsa de empleo Torreón Reclutamiento","https://www.facebook.com/reclutamientotorreonlaguna/","false","false"
"Axejit Importaciones Especializadas","https://www.facebook.com/AxejitImportaciones/","ventas@axejit.com","axejit.com"
"Logenti Promo vendedores y Call Center","https://www.facebook.com/100069524475263/","variana.vergara@logenti.com","false"
"Recursos Humanos","https://www.facebook.com/100085995831280/","false","false"
"Reclutamiento Casino Vivento","https://www.facebook.com/Reclutamiento.Vivento/","adrianjokerhaha@gmail.com","false"
"Atracción de Talento Paquetexpress Norte","https://www.facebook.com/61558107850695/","lmelendez@paquetexpress.com.mx","false"
"Reclutamiento y selección.","https://www.facebook.com/100076193873769/","false","false"
"Reclutamiento Grupo Servimax","https://www.facebook.com/61554937006886/","reclutamientoservimax@gmail.com","gp.servimax?utm_source=qr&igsh=a3dhbGYyMG8yNzV2"
"Reclutamiento en Cancún","https://www.facebook.com/estoyreclutando/","false","false"
"Rojita","https://www.facebook.com/Rojita-397973540069157/","false","false"
"Limpiamex Reclutamiento Guadalajara - Zona Metropolitana","https://www.facebook.com/100084272589295/","false","limpiamex.mx"
"ADOSA","https://www.facebook.com/AdosaMexico/","contacto@adosa.com.mx","adosamexico"
"RENT-A-COM","https://www.facebook.com/rentacom.mty/","contacto@rentacom.com.mx","rentacom.com.mx"
"Limpieza Industrial Guadalajara Limpiamex","https://www.facebook.com/100090247899909/","false","limpiamex.mx"
"Todo Uniformes","https://www.facebook.com/TodoUniformesSLP/","ventas@todouniformes.mx","todouniformesslp"
"Alquimia Depilación y Spa 2","https://www.facebook.com/61557628569646/","alquimiaspacontacto@gmail.com","bit.ly/AlquimiaGDL"
"Muuk","https://www.facebook.com/MuukVentas/","ventas@muukventas.com","muukventas.com"
"BOLSA De Empleo Operadores 2023","https://www.facebook.com/100063560714226/","false","false"
"Limpieza Inteligente","https://www.facebook.com/limpiezainteligentemx/","atnclientes@limpiezainteligente.com","limpiezainteligente.com"
"Reclutamiento Hotel Klimt","https://www.facebook.com/61566826695467/","false","false"
"Holiday Inn SuitesVallarta/RH ","https://www.facebook.com/100091333391055/","false","false"
"Atracción PRO","https://www.facebook.com/100091919052189/","sergio.dearcos@gmail.com","false"
"Cedis Chedraui Tampico","https://www.facebook.com/61567269628694/","false","false"
"Atracción de Talento ATZ","https://www.facebook.com/61556660585212/","false","false"
"FC Metales Empleos","https://www.facebook.com/61566773920542/","administracion@fcmetales.com","fcmetales.com"
"Sopori Reclutamiento Mérida 9","https://www.facebook.com/SoporiMotul/","false","sopori.com.mx"
"Utep reclutamiento ","https://www.facebook.com/61564665084003/","false","false"
"Empleo Saltillo y ramos Arizpe","https://www.facebook.com/100094477545196/","dannyperez1697@gmail.com","wa.me/message/L5DZTMCDDHLCP1"
"reclutamiento","https://www.facebook.com/61563897610650/","false","false"
"Conexión Pacifico Empleo Mty","https://www.facebook.com/ConexionPacficio/","false","conexion-pacifico.com"
"Sebastian Beja","https://www.facebook.com/bejasebastian/","info@sebastianbeja.com","sebastianbeja.com/inicio"
"Viajero frecuente","https://www.facebook.com/emprendered721/","jesus-aguila@incruises.com","jesusaguila.incruises.com"
"Universidad de Innovación Tecnológica ","https://www.facebook.com/uitmx/","Inscripciones@uit.mx","uit.mx"
"Transcooler Logistics","https://www.facebook.com/transcoolermexico/","rhumanos@transcoolermexico.com","transcoolerlogistics"
"Únete Alsea","https://www.facebook.com/UneteAlsea/","false","alsea.net"
"TopStaff","https://www.facebook.com/TopStaffmx/","contacto@topstaff.mx","topstaff_mexico"
"Héctor Plasencia","https://www.facebook.com/H%C3%A9ctor-Plasencia-446765678514543/","false","false"
"Psicoterapia Sistémica.","https://www.facebook.com/100091432471674/","false","false"
"Centro de capacitación social para jóvenes y adultos/gob","https://www.facebook.com/61559390112772/","false","false"
"Centro de reclutamiento","https://www.facebook.com/Centro-de-reclutamiento-187055274482263/","false","false"
"Juan Morales Analista RH","https://www.facebook.com/Juan-Morales-Analista-RH-317285281466883/","false","false"
"Reclutamiento Mérida","https://www.facebook.com/61565846056752/","false","false"
"CCP Recluta","https://www.facebook.com/61559960373658/","false","linkedin.com/company/cuidadoconelperromx/?trk=ppro_cprof&originalSubdomain=ca"
"Reclutamiento Copizza","https://www.facebook.com/100057365173292/","false","false"
"Ojai Rh Ver","https://www.facebook.com/100078290711324/","false","https://forms.gle/jjpnTAGcoBpbGhbo8"
"Sinergia de oportunidades","https://www.facebook.com/61565695198041/","serranomundolucrecia@gmail.com","sinergiaoportunidades.com"
"Vacantes Sub Baja Sur","https://www.facebook.com/61566875735278/","rh@subwaybcs.com","false"
"Empleos de Restaurante","https://www.facebook.com/100082876622981/","false","empleosderestaurante"
"Reclutamiento Seccure Assists","https://www.facebook.com/61558765724464/","false","false"
"Trabajo/Empleo en Saltillo, Ramos Arizpe y Arteaga","https://www.facebook.com/61555697900706/","false","false"
"Mar Y Oriente Sushi","https://www.facebook.com/100090766481184/","false","false"
"RedAqua","https://www.facebook.com/100065197080559/","redaquamx@gmail.com","false"
"Melissa Rodríguez","https://www.facebook.com/Melissa-Rodr%C3%ADguez-495928810259788/","false","false"
"Soluciones Infonavit","https://www.facebook.com/61566036510622/","mhproyectosinfonavit@gmail.com","false"
"Recursos Humanos Alfa Gamma Laguna","https://www.facebook.com/100088687908243/","jefrh.lag@alfagamma.com.mx","facebook.com/profile.php?id=100022066670451"
"Bolsa de empleo TDI","https://www.facebook.com/61567749685149/","reclutamiento@tdi-sa.com","tdi-sa.com/acerca-de-nosotros"
"Talento Fasti","https://www.facebook.com/100079156204706/","false","superfasti.com"
"Vacantes Monterrey","https://www.facebook.com/100075906892578/","cecilial@marro.mx","false"
"Clínica de la Mujer de Chihuahua","https://www.facebook.com/clinicadelamujerdechihuahua/","false","clinicadelamujer.com.mx"
"PORCO Reclutamiento","https://www.facebook.com/61566572481451/","false","fogysa.com.mx"
"Atracción de talento ADO Puebla","https://www.facebook.com/atracciondetalentopuebla/","false","mobilityado.com"
"Nuevo empleo-GDL ","https://www.facebook.com/61566430422860/","gabriela.chavez@trascendenciahumana.com","false"
"Globalev Bussines","https://www.facebook.com/61565075394632/","false","false"
"Itzel - Oportunidades de Empleo","https://www.facebook.com/61565456563238/","false","false"
"Suspiros Pastelerías Ensenada","https://www.facebook.com/suspirospasteleriasensenada/","false","suspirospastelerias.com"
"Escuela Operadores Econoflete","https://www.facebook.com/escuelaeconoflete/","recursoshumanos@econoflete.com.mx","econoflete.com.mx/escuela-operadores"
"Fresko Valle Real","https://www.facebook.com/61563438278343/","false","lacomer.com.mx/lacomer"
"AGGG Consultoría","https://www.facebook.com/61567415067026/","inam.legal@gmail.com","agggconsultorialegal.com"
"Belieff Jobs","https://www.facebook.com/BelieffJobs/","talento@belieff.mx","belieff.mx/jobs"
"Jasman Talento Humano","https://www.facebook.com/61563315386703/","false","false"
"Itzel RH","https://www.facebook.com/61564853552135/","daniela.flores@opefar.com","false"
"Grupo Estrella Blanca Empleo","https://www.facebook.com/61553856675231/","talentoestrellablanca@gmail.com","false"
"Bolsa de trabajo - Jack In The Box Mexico","https://www.facebook.com/61566789361749/","false","false"
"Transportes Lock Pachuca","https://www.facebook.com/61552151127689/","hiesus.dios@tlock.mx","tlock.mx/index.php"
"María Jose","https://www.facebook.com/61558471860543/","false","false"
"Linguatec en Ciudad del Carmen","https://www.facebook.com/100057387582311/","m.ballina@linguatec.com.mx","false"
"Empleo México ","https://www.facebook.com/61561199884314/","vidalivangonzalez@hotmail.com","false"
"Recíclalo App","https://www.facebook.com/reciclaloapp/","hola@reciclalo.org","reciclalo.org"
"Canaco Chihuahua","https://www.facebook.com/canacochihuahua/","comunicacion@canacochihuahua.com.mx","canacochih · 2651 seguidores"
"Atracción de Talento Galletas Dondé Cedis","https://www.facebook.com/61559410980176/","contrataciones@galletasdonde.com","false"
"Ofertas de empleo cerca de ti","https://www.facebook.com/61566961174479/","claudia.suarez@sukarne.com","false"
"HND Essensa","https://www.facebook.com/61551528922472/","false","essenzabymg"
"Analistas de Reclutamiento ","https://www.facebook.com/100094365346021/","false","false"
"Transpojit","https://www.facebook.com/TranspoJIT/","contacto@transpojit.com","transpojit"
"Bolsa de empleo TDA Telecomunicaciones Vallarta ","https://www.facebook.com/61560874958531/","false","false"
"Quiroz Impermeabilizantes Reclutamiento","https://www.facebook.com/QuirozImpermeabilizantesReclutamiento/","rh@quirozfester.com.mx","quirozimpermeabiliza.rh"
"Bolsa de empleo TDA Telecomunicaciones Colima ","https://www.facebook.com/61560831279122/","false","false"
"Universidad Magno","https://www.facebook.com/UniMagnoLeon/","admisionesmagno@magno.edu.mx","universidadmagno"
"Empleo KFC MX","https://www.facebook.com/EmpleoKFCMX/","false","empleo.kfc.com.mx"
"GOvacantes","https://www.facebook.com/trabajoscancun/","false","false"
"Innovage R.H","https://www.facebook.com/61555970134577/","false","false"
"Empleo","https://www.facebook.com/Empleo-105741885937819/","false","false"
"BIO Pharmacy Salud Integral","https://www.facebook.com/biopharmacysaludintegral/","bio.pharmacy.salud.integral@gmail.com","biopharmacysaludintegral.negocio.site"
"Inpaf Asesoría Financiera","https://www.facebook.com/Inpaf.asesoria/","rsandoval@inpaf.mx","inpaf_asesoria"
"Reclutamiento de personal ZMG","https://www.facebook.com/100083108113551/","isabelguzmann8@gmail.com","false"
"Empleos en Querétaro","https://www.facebook.com/100077555972356/","false","false"
"Dataproducts","https://www.facebook.com/DataproductsMxli/","dataproducts@clovertech.com","empleosdataproducts.com"
"Reclutamiento Muebles Muñoz","https://www.facebook.com/61555878677855/","reclutamiento.mmunoz@gmail.com","false"
"Centro de Refrigeración","https://www.facebook.com/CentroDeRefrigeracionTaller/","centro_de_refrigeracion@hotmail.com","centro-de-refrigeracion-air-conditioning-repair-service.negocio.site"
